template_id,template_title,device_type,section_id,section_title,field_id,label,input_type,required,display_order
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,b_safety_preparation_before_testing,B. Safety Preparation Before Testing,fire_alarm_control_panel_confirm_lift_air_con_roller_shutter_smoke_spill_fan_pressurizing_fan_and_gas_release_interfaces_before_alarm_mode_testing,"Confirm lift, air-con, roller shutter, smoke spill fan, pressurizing fan, and gas release interfaces before alarm-mode testing.",text,False,16
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,b_safety_preparation_before_testing,B. Safety Preparation Before Testing,fire_alarm_control_panel_confirm_whether_bomba_link_monitoring_line_needs_to_be_isolated,Confirm whether Bomba link / monitoring line needs to be isolated.,text,False,17
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,b_safety_preparation_before_testing,B. Safety Preparation Before Testing,fire_alarm_control_panel_record_who_approved_the_test,Record who approved the test.,text,False,18
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,g_final_restoration,G. Final Restoration,fire_alarm_control_panel_reinstate_all_tripping_outputs_isolations,Reinstate all tripping outputs / isolations.,text,False,19
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,g_final_restoration,G. Final Restoration,fire_alarm_control_panel_reset_fire_alarm_panel,Reset fire alarm panel.,text,False,20
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,g_final_restoration,G. Final Restoration,fire_alarm_control_panel_confirm_panel_returns_to_normal_status,Confirm panel returns to normal status.,text,False,21
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,g_final_restoration,G. Final Restoration,fire_alarm_control_panel_confirm_no_active_fault_isolate_alarm_left_behind,Confirm no active fault / isolate / alarm left behind.,text,False,22
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,g_final_restoration,G. Final Restoration,fire_alarm_control_panel_confirm_mimic_panel_normal,Confirm mimic panel normal.,text,False,23
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,g_final_restoration,G. Final Restoration,fire_alarm_control_panel_inform_facilities_manager_client_representative_testing_completed,Inform Facilities Manager / client representative testing completed.,text,False,24
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,g_final_restoration,G. Final Restoration,fire_alarm_control_panel_record_final_panel_status_photo,Record final panel status photo.,text,False,25
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,h_required_photos,H. Required Photos,fire_alarm_control_panel_panel_front_view,Panel front view,text,False,26
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,h_required_photos,H. Required Photos,fire_alarm_control_panel_panel_normal_status_before_test,Panel normal status before test,text,False,27
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,h_required_photos,H. Required Photos,fire_alarm_control_panel_battery_charger_photo,Battery / charger photo,text,False,28
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,h_required_photos,H. Required Photos,fire_alarm_control_panel_mimic_panel_photo,Mimic panel photo,text,False,29
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,h_required_photos,H. Required Photos,fire_alarm_control_panel_fault_isolate_screen_if_any,Fault / isolate screen if any,text,False,30
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,h_required_photos,H. Required Photos,fire_alarm_control_panel_final_normal_status_after_restoration,Final normal status after restoration,text,False,31
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,i_report_remarks,I. Report Remarks,fire_alarm_control_panel_faults_found,Faults found,text,False,32
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,i_report_remarks,I. Report Remarks,fire_alarm_control_panel_devices_failed,Devices failed,text,False,33
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,i_report_remarks,I. Report Remarks,fire_alarm_control_panel_interface_failed,Interface failed,text,False,34
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,i_report_remarks,I. Report Remarks,fire_alarm_control_panel_parts_recommended,Parts recommended,text,False,35
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,i_report_remarks,I. Report Remarks,fire_alarm_control_panel_urgent_safety_concerns,Urgent safety concerns,text,False,36
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,i_report_remarks,I. Report Remarks,fire_alarm_control_panel_follow_up_quotation_required_yes_no,Follow-up quotation required: Yes / No,text,False,37
fireman_intercom_system,Fireman Intercom System Checklist,FI,a_system_information,A. System Information,fireman_intercom_system_system_location,System location,text,False,1
fireman_intercom_system,Fireman Intercom System Checklist,FI,a_system_information,A. System Information,fireman_intercom_system_master_panel_location,Master panel location,text,False,2
fireman_intercom_system,Fireman Intercom System Checklist,FI,a_system_information,A. System Information,fireman_intercom_system_master_intercom_brand_model,Master intercom brand / model,text,False,3
fireman_intercom_system,Fireman Intercom System Checklist,FI,a_system_information,A. System Information,fireman_intercom_system_cpu_controller_brand_model_if_available,CPU / controller brand / model if available,text,False,4
fireman_intercom_system,Fireman Intercom System Checklist,FI,a_system_information,A. System Information,fireman_intercom_system_total_master_quantity,Total master quantity,text,False,5
fireman_intercom_system,Fireman Intercom System Checklist,FI,a_system_information,A. System Information,fireman_intercom_system_total_slave_handset_quantity,Total slave handset quantity,text,False,6
fireman_intercom_system,Fireman Intercom System Checklist,FI,a_system_information,A. System Information,fireman_intercom_system_last_service_date,Last service date,text,False,7
fireman_intercom_system,Fireman Intercom System Checklist,FI,b_safety_preparation_before_testing,B. Safety Preparation Before Testing,fireman_intercom_system_inform_facilities_manager_client_representative_before_testing,Inform Facilities Manager / client representative before testing.,text,False,8
fireman_intercom_system,Fireman Intercom System Checklist,FI,b_safety_preparation_before_testing,B. Safety Preparation Before Testing,fireman_intercom_system_confirm_testing_time_and_affected_areas,Confirm testing time and affected areas.,text,False,9
fireman_intercom_system,Fireman Intercom System Checklist,FI,b_safety_preparation_before_testing,B. Safety Preparation Before Testing,fireman_intercom_system_confirm_master_panel_can_be_tested,Confirm master panel can be tested.,text,False,10
fireman_intercom_system,Fireman Intercom System Checklist,FI,b_safety_preparation_before_testing,B. Safety Preparation Before Testing,fireman_intercom_system_confirm_access_to_slave_handset_locations,Confirm access to slave handset locations.,text,False,11
fireman_intercom_system,Fireman Intercom System Checklist,FI,b_safety_preparation_before_testing,B. Safety Preparation Before Testing,fireman_intercom_system_record_who_approved_the_test,Record who approved the test.,text,False,12
fireman_intercom_system,Fireman Intercom System Checklist,FI,g_final_restoration,G. Final Restoration,fireman_intercom_system_confirm_master_panel_returns_to_normal_status,Confirm master panel returns to normal status.,text,False,13
fireman_intercom_system,Fireman Intercom System Checklist,FI,g_final_restoration,G. Final Restoration,fireman_intercom_system_confirm_no_fault_indication_left_after_testing,Confirm no fault indication left after testing.,text,False,14
fireman_intercom_system,Fireman Intercom System Checklist,FI,g_final_restoration,G. Final Restoration,fireman_intercom_system_confirm_all_handset_cabinets_are_closed_and_secured,Confirm all handset cabinets are closed and secured.,text,False,15
fireman_intercom_system,Fireman Intercom System Checklist,FI,g_final_restoration,G. Final Restoration,fireman_intercom_system_inform_facilities_manager_client_representative_testing_completed,Inform Facilities Manager / client representative testing completed.,text,False,16
fireman_intercom_system,Fireman Intercom System Checklist,FI,h_required_photos,H. Required Photos,fireman_intercom_system_master_intercom_panel,Master intercom panel,text,False,17
fireman_intercom_system,Fireman Intercom System Checklist,FI,h_required_photos,H. Required Photos,fireman_intercom_system_panel_normal_status,Panel normal status,text,False,18
fireman_intercom_system,Fireman Intercom System Checklist,FI,h_required_photos,H. Required Photos,fireman_intercom_system_battery_and_charger,Battery and charger,text,False,19
fireman_intercom_system,Fireman Intercom System Checklist,FI,h_required_photos,H. Required Photos,fireman_intercom_system_cpu_controller_if_visible,CPU / controller if visible,text,False,20
fireman_intercom_system,Fireman Intercom System Checklist,FI,h_required_photos,H. Required Photos,fireman_intercom_system_sample_slave_handset,Sample slave handset,text,False,21
fireman_intercom_system,Fireman Intercom System Checklist,FI,h_required_photos,H. Required Photos,fireman_intercom_system_failed_handset_damaged_glass_damaged_lock,Failed handset / damaged glass / damaged lock,text,False,22
fireman_intercom_system,Fireman Intercom System Checklist,FI,h_required_photos,H. Required Photos,fireman_intercom_system_final_normal_panel_status,Final normal panel status,text,False,23
fireman_intercom_system,Fireman Intercom System Checklist,FI,i_report_remarks,I. Report Remarks,fireman_intercom_system_master_panel_issue,Master panel issue,text,False,24
fireman_intercom_system,Fireman Intercom System Checklist,FI,i_report_remarks,I. Report Remarks,fireman_intercom_system_cpu_control_operation_issue,CPU / control operation issue,text,False,25
fireman_intercom_system,Fireman Intercom System Checklist,FI,i_report_remarks,I. Report Remarks,fireman_intercom_system_no_speech_master_to_slave,No speech master to slave,text,False,26
fireman_intercom_system,Fireman Intercom System Checklist,FI,i_report_remarks,I. Report Remarks,fireman_intercom_system_no_speech_slave_to_master,No speech slave to master,text,False,27
fireman_intercom_system,Fireman Intercom System Checklist,FI,i_report_remarks,I. Report Remarks,fireman_intercom_system_audio_unclear,Audio unclear,text,False,28
fireman_intercom_system,Fireman Intercom System Checklist,FI,i_report_remarks,I. Report Remarks,fireman_intercom_system_broken_glass,Broken glass,text,False,29
fireman_intercom_system,Fireman Intercom System Checklist,FI,i_report_remarks,I. Report Remarks,fireman_intercom_system_lock_damaged_missing_key,Lock damaged / missing key,text,False,30
fireman_intercom_system,Fireman Intercom System Checklist,FI,i_report_remarks,I. Report Remarks,fireman_intercom_system_handset_damaged,Handset damaged,text,False,31
fireman_intercom_system,Fireman Intercom System Checklist,FI,i_report_remarks,I. Report Remarks,fireman_intercom_system_parts_recommended,Parts recommended,text,False,32
fireman_intercom_system,Fireman Intercom System Checklist,FI,i_report_remarks,I. Report Remarks,fireman_intercom_system_follow_up_quotation_required_yes_no,Follow-up quotation required: Yes / No,text,False,33
gas_release_system,Gas Release System Checklist,GAS,a_system_information,A. System Information,gas_release_system_protected_area,Protected area,text,False,1
gas_release_system,Gas Release System Checklist,GAS,a_system_information,A. System Information,gas_release_system_gas_release_agent_type,Gas release agent type,text,False,2
gas_release_system,Gas Release System Checklist,GAS,a_system_information,A. System Information,gas_release_system_gas_release_agent_panel_location,Gas release agent panel location,text,False,3
gas_release_system,Gas Release System Checklist,GAS,a_system_information,A. System Information,gas_release_system_panel_brand_model,Panel brand / model,text,False,4
gas_release_system,Gas Release System Checklist,GAS,a_system_information,A. System Information,gas_release_system_cylinder_quantity,Cylinder quantity,text,False,5
gas_release_system,Gas Release System Checklist,GAS,a_system_information,A. System Information,gas_release_system_cylinder_serial_numbers,Cylinder serial numbers,text,False,6
gas_release_system,Gas Release System Checklist,GAS,a_system_information,A. System Information,gas_release_system_manual_release_location,Manual release location,text,False,7
gas_release_system,Gas Release System Checklist,GAS,a_system_information,A. System Information,gas_release_system_abort_switch_location,Abort switch location,text,False,8
gas_release_system,Gas Release System Checklist,GAS,a_system_information,A. System Information,gas_release_system_sounder_beacon_flashing_light_location,Sounder / beacon / flashing light location,text,False,9
gas_release_system,Gas Release System Checklist,GAS,a_system_information,A. System Information,gas_release_system_last_service_date,Last service date,text,False,10
gas_release_system,Gas Release System Checklist,GAS,b_safety_preparation_before_testing,B. Safety Preparation Before Testing,gas_release_system_inform_facilities_manager_client_representative_before_testing,Inform Facilities Manager / client representative before testing.,text,False,11
